Topics,Alpha,Beta,Coherence
8,symmetric,0.01,0.6842601165769817
8,symmetric,0.03,0.6815412925643586
8,symmetric,0.049999999999999996,0.6807008378885024
8,symmetric,0.06999999999999999,0.6766284902424997
8,symmetric,0.08999999999999998,0.6734317821767211
8,symmetric,auto,0.6699764907706445
8,asymmetric,0.01,0.6854456840761419
8,asymmetric,0.03,0.6842666143426617
8,asymmetric,0.049999999999999996,0.6825605173050624
8,asymmetric,0.06999999999999999,0.6852063474347426
8,asymmetric,0.08999999999999998,0.6912401962439244
8,asymmetric,auto,0.6812867273395097
8,auto,0.01,0.6763390000127425
8,auto,0.03,0.6796062984774515
8,auto,0.049999999999999996,0.6796062984774515
8,auto,0.06999999999999999,0.6732896139335969
8,auto,0.08999999999999998,0.6732896139335969
8,auto,auto,0.6703268415098314
9,symmetric,0.01,0.6588484664520035
9,symmetric,0.03,0.6606659375305268
9,symmetric,0.049999999999999996,0.6689608577786065
9,symmetric,0.06999999999999999,0.6674344489772137
9,symmetric,0.08999999999999998,0.667417119890962
9,symmetric,auto,0.6703774045254072
9,asymmetric,0.01,0.6773076508237093
9,asymmetric,0.03,0.6767515162843114
9,asymmetric,0.049999999999999996,0.673614810640006
9,asymmetric,0.06999999999999999,0.6781190655637991
9,asymmetric,0.08999999999999998,0.6814625240618286
9,asymmetric,auto,0.680537533058064
9,auto,0.01,0.660665937530527
9,auto,0.03,0.6607469768071005
9,auto,0.049999999999999996,0.6689608577786065
9,auto,0.06999999999999999,0.6674344489772137
9,auto,0.08999999999999998,0.6683942083619759
9,auto,auto,0.6703372573266485
10,symmetric,0.01,0.6906052970269956
10,symmetric,0.03,0.689457285215916
10,symmetric,0.049999999999999996,0.6873849495608246
10,symmetric,0.06999999999999999,0.6851841214043407
10,symmetric,0.08999999999999998,0.685920732811009
10,symmetric,auto,0.6840855898557286
10,asymmetric,0.01,0.7119833375426186
10,asymmetric,0.03,0.7118483518384651
10,asymmetric,0.049999999999999996,0.7119696026881346
10,asymmetric,0.06999999999999999,0.7092067653571206
10,asymmetric,0.08999999999999998,0.708727942355603
10,asymmetric,auto,0.708727942355603
10,auto,0.01,0.6891791589258313
10,auto,0.03,0.689457285215916
10,auto,0.049999999999999996,0.6878247053042631
10,auto,0.06999999999999999,0.6846206388703329
10,auto,0.08999999999999998,0.685920732811009
10,auto,auto,0.6820412584917845
11,symmetric,0.01,0.7022640377452998
11,symmetric,0.03,0.7024920284007482
11,symmetric,0.049999999999999996,0.7032018151347772
11,symmetric,0.06999999999999999,0.7028883785949026
11,symmetric,0.08999999999999998,0.7007235524190863
11,symmetric,auto,0.7007235524190863
11,asymmetric,0.01,0.6934288393211692
11,asymmetric,0.03,0.6912893659675814
11,asymmetric,0.049999999999999996,0.6920174328367056
11,asymmetric,0.06999999999999999,0.693340064832249
11,asymmetric,0.08999999999999998,0.6901164340238531
11,asymmetric,auto,0.6870816987682858
11,auto,0.01,0.702134917844723
11,auto,0.03,0.7019379853548722
11,auto,0.049999999999999996,0.7032018151347772
11,auto,0.06999999999999999,0.7028883785949026
11,auto,0.08999999999999998,0.7002642716829545
11,auto,auto,0.7002642716829545
12,symmetric,0.01,0.7152046701652978
12,symmetric,0.03,0.7134788346870131
12,symmetric,0.049999999999999996,0.7121261730112524
12,symmetric,0.06999999999999999,0.713683704639764
12,symmetric,0.08999999999999998,0.7094808700178419
12,symmetric,auto,0.7113201385686331
12,asymmetric,0.01,0.7137629369853644
12,asymmetric,0.03,0.7150453075570051
12,asymmetric,0.049999999999999996,0.7091958570422644
12,asymmetric,0.06999999999999999,0.7082140978928787
12,asymmetric,0.08999999999999998,0.7075108795742069
12,asymmetric,auto,0.7075108795742069
12,auto,0.01,0.7152046701652978
12,auto,0.03,0.7134788346870131
12,auto,0.049999999999999996,0.7114575069319016
12,auto,0.06999999999999999,0.7130935001841423
12,auto,0.08999999999999998,0.7086862795586776
12,auto,auto,0.7113201385686331
13,symmetric,0.01,0.6902207782929816
13,symmetric,0.03,0.6874331284441723
13,symmetric,0.049999999999999996,0.692199745953986
13,symmetric,0.06999999999999999,0.6938500430358441
13,symmetric,0.08999999999999998,0.6989071459449097
13,symmetric,auto,0.6956042951846564
13,asymmetric,0.01,0.682663354600525
13,asymmetric,0.03,0.679514485562583
13,asymmetric,0.049999999999999996,0.682619080425238
13,asymmetric,0.06999999999999999,0.6835363594873258
13,asymmetric,0.08999999999999998,0.685798699415471
13,asymmetric,auto,0.685798699415471
13,auto,0.01,0.6902207782929816
13,auto,0.03,0.6874331284441723
13,auto,0.049999999999999996,0.6941752515694752
13,auto,0.06999999999999999,0.693850043035844
13,auto,0.08999999999999998,0.6989071459449097
13,auto,auto,0.6956042951846564
14,symmetric,0.01,0.6820446210607034
14,symmetric,0.03,0.6834613604413755
14,symmetric,0.049999999999999996,0.6822001218767468
14,symmetric,0.06999999999999999,0.6831266017629803
14,symmetric,0.08999999999999998,0.6855007497008305
14,symmetric,auto,0.6831266017629805
14,asymmetric,0.01,0.6975285789716429
14,asymmetric,0.03,0.699558107586696
14,asymmetric,0.049999999999999996,0.6931889606616602
14,asymmetric,0.06999999999999999,0.6872321933133545
14,asymmetric,0.08999999999999998,0.6918135704448627
14,asymmetric,auto,0.6872321933133545
14,auto,0.01,0.6814859088168423
14,auto,0.03,0.6834613604413754
14,auto,0.049999999999999996,0.6822931474888855
14,auto,0.06999999999999999,0.6831266017629805
14,auto,0.08999999999999998,0.6861055618270334
14,auto,auto,0.6831266017629805
